"AtlasAssayGroup"	"organism"	"strain"	"genotype"	"developmental_stage"	"age"	"sex"	"organism_part"
"ERR2576556"	"g61"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"liver"
"ERR2576557"	"g61"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"liver"
"ERR2576558"	"g62"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"ovary"
"ERR2576559"	"g62"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"female"	"ovary"
"ERR2576560"	"g57"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"brain"
"ERR2576561"	"g57"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"brain"
"ERR2576562"	"g58"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"cerebellum"
"ERR2576563"	"g58"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"cerebellum"
"ERR2576564"	"g59"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"heart"
"ERR2576565"	"g59"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"heart"
"ERR2576566"	"g60"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"kidney"
"ERR2576567"	"g60"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"kidney"
"ERR2576568"	"g61"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"liver"
"ERR2576569"	"g61"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"liver"
"ERR2576570"	"g63"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"testis"
"ERR2576571"	"g63"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day7"	"male"	"testis"
"ERR2576572"	"g50"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"brain"
"ERR2576573"	"g50"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"brain"
"ERR2576574"	"g51"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"cerebellum"
"ERR2576575"	"g51"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"cerebellum"
"ERR2576576"	"g52"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"heart"
"ERR2576577"	"g52"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"heart"
"ERR2576578"	"g53"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"kidney"
"ERR2576579"	"g53"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"kidney"
"ERR2576580"	"g54"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"liver"
"ERR2576581"	"g54"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"liver"
"ERR2576582"	"g55"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"ovary"
"ERR2576583"	"g55"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"female"	"ovary"
"ERR2576584"	"g50"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"brain"
"ERR2576585"	"g50"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"brain"
"ERR2576586"	"g51"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"cerebellum"
"ERR2576587"	"g51"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"cerebellum"
"ERR2576588"	"g52"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"heart"
"ERR2576589"	"g52"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"heart"
"ERR2576590"	"g53"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"kidney"
"ERR2576591"	"g53"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"kidney"
"ERR2576592"	"g54"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day70"	"male"	"liver"
