"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"
"NDF4..PnsB3"	4.104285	3.385552	4.027943	3.916887	3.334231	1.682159	4.139052	5.407629	5.001444	4.535123	5.024866	5.538104	4.962758	4.887284	4.932963	4.909853	3.568962	5.014425	5.581818	6.077756	5.819335	3.511302	3.383368	2.547156	3.20189	3.859482	5.238168	6.316036
"CYP72A11"	3.157589	2.391213	3.042327	2.588525	1.320169	2.908763	2.058289	6.042675	5.445294	5.702075	5.95206	6.11629	5.943607	5.953337	6.382587	3.986126	5.764464	5.376195	6.040612	6.086158	5.961423	6.518402	7.177023	7.10917	6.640773	6.227272	6.638675	6.978635
"PIFI"	3.543625	3.153697	2.218875	4.623146	4.229437	3.736894	4.249321	5.211598	5.897404	7.246055	7.125716	5.70609	5.599186	4.218618	3.604421	3.048534	4.130438	4.320793	4.905626	3.237299	3.230916	3.719077	3.667323	2.951772	2.595469	2.751128	4.244807	2.074893
"CYP71B15..PAD3"	6.559159	5.381882	6.602834	5.534055	6.339516	5.769266	6.80903	6.958356	6.795363	8.39329	9.30018	9.053494	6.932749	7.906248	9.088215	8.893496	11.500146	10.939589	10.761234	10.893948	11.540077	7.736283	10.063573	12.581559	11.371949	10.742206	10.922654	11.335111
"ATPHO1..PHO1"	5.658251	5.497293	4.453611	1.883265	3.948284	2.907224	2.465244	7.621355	6.482885	6.948672	6.213052	6.481869	6.138344	5.765058	9.461005	7.45744	8.486416	6.907714	7.799298	7.622668	7.600165	9.294949	10.19585	11.096015	9.301949	8.805341	9.125171	9.448758
"IAA31"	6.386837	5.095088	2.410236	2.270035	5.047572	2.731561	3.675233	5.945008	5.675093	3.237332	5.555475	6.375146	5.127804	4.890884	4.795468	5.201069	3.024953	4.203383	3.537761	4.377889	2.626256	7.393672	6.767867	5.455592	6.06864	7.411612	6.684514	5.700234
"ATWNK2..WNK2..ZIK3"	5.28507	4.548645	3.620903	2.253179	3.506408	2.669452	3.93387	4.732884	4.948883	4.746857	5.324576	4.980493	4.333777	3.93235	3.530456	3.452627	5.026741	6.254988	6.599912	6.194876	6.495065	4.429935	3.972223	4.856019	5.711877	5.907812	6.255817	6.299498
"THA2"	6.220837	5.856061	4.921673	4.92353	5.305257	4.793499	4.381352	8.320779	9.32844	8.388273	8.44146	8.589645	7.712062	8.995868	8.574755	10.205444	10.704556	11.427481	11.34828	11.431227	11.390523	7.806797	7.675327	7.927812	8.805566	8.7115	8.505297	9.030406
"AtMYB107..MYB107"	2.5262236	0.8725279	2.2352255	1.9054492	1.3729021	2.5040378	1.668006	2.6499658	3.0146647	6.1788288	6.871835	1.6418347	0.7971977	3.172336	7.8856965	9.4707592	10.4977656	10.2654443	8.4100344	6.6336733	7.7468733	2.8370685	5.7668607	8.2856138	6.8971858	3.4487697	3.8049353	3.0226619
"SKOR"	4.704908	2.470761	4.197846	3.968307	4.002303	4.092033	4.083536	6.017541	3.846723	4.851285	5.014336	5.52668	4.862198	4.902267	8.396741	5.568169	4.731549	5.392913	6.166804	5.628378	5.713285	8.478158	7.263544	7.291797	6.514462	6.592592	6.080516	7.631184
"QRT2"	3.591936	2.864344	3.557446	3.663343	3.653962	3.761929	3.639918	3.581588	3.47926	4.634496	4.208745	3.24688	2.775302	3.535201	5.739784	4.54038	5.703658	7.532729	6.312237	4.777803	4.89158	4.437083	4.018769	4.203733	5.121638	4.942228	3.018987	2.444227
"APX1B..APX2"	2.618961	2.820279	2.666039	1.416615	4.327594	4.217361	5.386993	2.435783	3.659328	3.687926	5.022138	6.811999	5.908507	5.721076	4.037258	3.855297	4.243171	3.503684	6.571606	5.561801	5.603075	2.865411	4.279384	3.089499	4.826337	1.90477	3.688692	4.509482
"ATEXO70H4..EXO70H4"	3.91381	4.838226	3.565025	3.313266	3.407387	4.598339	3.469054	4.221579	7.570063	6.786043	7.565699	7.539448	5.944143	6.932268	4.879225	4.934903	6.67715	4.460613	5.352136	4.485458	4.971111	4.949675	6.448355	6.497988	6.029089	5.429308	4.566797	5.643885
"AGP27..ATAGP27"	3.8665754	2.7163185	2.3427156	3.154842	3.4477811	3.2345009	2.5000528	3.0109031	2.9538935	0.9203427	2.7588124	3.5462987	2.6863984	2.5443816	4.2854175	3.2389359	3.3386995	4.0354286	5.1630514	4.9929011	5.3429667	3.5302886	3.4958584	4.5729313	4.8533021	5.4865658	5.5574181	5.2005075
"DML2"	3.757899	4.293385	1.974282	3.271108	3.087863	3.007016	2.920364	4.7533	5.240532	5.177226	4.684169	4.251614	3.973544	5.006901	6.47157	7.949147	6.736839	6.354784	6.188311	5.159218	5.953273	5.427071	5.657695	5.749942	5.376688	4.867373	5.002169	4.091664
"ACR6"	3.300643	2.841023	3.819221	4.508986	3.271801	3.720945	5.576556	3.624273	6.108202	4.561016	5.18456	4.75379	4.486723	3.668089	3.093265	5.713758	7.16211	6.273919	5.353662	4.890587	5.410354	4.55469	5.370545	6.364478	5.347238	4.79618	4.597289	2.327904
"PYD4"	4.261116	2.205729	4.00527	4.096937	3.490265	3.291571	3.989179	3.530859	4.248961	6.097891	5.425469	6.719445	6.011803	6.906881	4.392713	4.061869	4.864034	4.055375	2.73271	3.70887	2.909381	3.365872	5.17246	5.475007	3.183236	5.339479	3.911995	4.328835
"LHCB4.2"	5.275942	5.576777	4.762481	5.100389	4.78702	5.204069	5.290261	8.79519	9.308093	8.656735	8.345434	7.467472	7.521909	7.725419	6.46765	5.445985	5.92268	6.304714	6.089702	6.133775	5.657659	6.66672	6.20601	3.782167	4.095062	3.835221	4.292526	4.305861
"AGD11..AtCML3..CML3"	7.287363	6.295964	3.43752	4.596906	5.603434	5.652043	4.204529	7.070005	5.22041	5.508972	6.276152	7.020999	6.232098	4.934589	5.242361	4.275343	3.496224	4.867214	5.935343	5.883272	3.173051	8.530916	5.290561	3.695898	5.124776	7.943845	7.025166	6.208544
"ATGPAT5..GPAT5"	5.090833	5.331741	5.087896	4.260455	4.953379	4.251623	4.048274	3.976834	5.227774	6.906263	8.136022	4.165417	4.930375	5.160492	4.945235	7.994287	10.856277	10.710279	9.187685	6.806254	7.23528	5.300831	6.331957	8.314009	8.144678	6.037114	3.661003	4.67974
"AHP4"	2.4379499	1.3235601	2.7047295	3.6488186	0.2035655	1.1416029	3.1808344	2.5699159	3.6733162	4.1632653	2.505747	2.4483604	3.337184	3.3311198	2.011482	4.310607	4.7401767	4.7338613	3.5289148	2.9048056	2.2132576	3.224677	5.6225828	3.0496321	3.609016	4.4879322	4.2212742	4.0399424
"JAL35..JR1"	4.651418	3.811548	4.544052	2.77149	2.029187	5.719446	3.770093	6.806746	5.948375	7.025687	7.344782	8.590253	9.615664	11.033947	8.050247	6.202639	6.686341	5.094357	8.031916	8.403002	8.034005	8.488608	9.194273	9.28199	7.769013	8.662379	9.862922	10.703458
"ATST4B..ST4B"	6.788607	4.427975	1.734319	2.931571	4.852501	4.889241	4.11414	12.026919	10.447839	11.664612	9.172258	11.174682	12.303457	11.943933	11.072119	10.623981	7.998956	8.61482	11.157223	11.552594	10.477419	10.91166	8.31883	6.424801	6.317209	9.452443	10.238896	9.284699
"CYP86A4"	4.474205	1.710205	3.445639	4.983724	3.11494	4.276301	3.730642	4.669745	4.753865	4.837831	6.60284	3.210776	3.100659	3.293688	5.72153	5.337989	8.317838	8.102351	7.218955	5.979301	5.073598	4.07064	4.897442	5.626562	6.349353	4.82528	4.794151	3.42366
"ATGPAT4..GPAT4"	2.917874	1.929476	2.459644	2.595079	1.513048	1.866245	1.991101	5.564846	3.275328	6.991764	8.025988	3.221041	2.448597	2.919923	7.638989	8.678577	11.713661	11.493861	9.633762	7.213112	8.090235	5.44581	6.185539	8.900943	9.01991	5.968784	4.904724	3.955288
"GLP4"	5.269876	4.700484	4.203242	4.803958	2.920909	1.213278	3.333681	5.243111	3.631302	5.185351	4.480292	4.034256	2.963985	2.347504	4.886032	5.242	5.383525	4.462977	4.231905	3.55108	1.847214	8.34966	5.828227	6.03579	5.811785	4.760948	4.71671	4.28094
"CP24..LHCB6"	5.765021	4.646866	2.080411	4.761351	4.439951	5.04639	4.641803	8.681991	8.760023	8.529897	8.363488	7.532549	7.829792	7.786457	7.526288	6.832188	5.572649	7.718329	7.550807	7.43688	7.320282	6.844564	6.871105	5.825676	7.00814	6.730219	7.07196	7.414859
"AtTSA1..TSA1"	2.9157469	0.8597871	2.155086	1.1262584	2.8589126	3.9998283	0.2226491	2.4122946	3.2201189	1.8440292	3.3805189	4.8324607	6.0403986	8.0183838	0.7360995	2.677628	1.5164066	1.9560928	0.8867472	1.5257897	1.2629372	2.6475303	3.4681696	3.5241859	1.3635294	4.1560531	4.5842313	5.2888545
"GAPB"	4.983501	5.055548	5.039267	4.042365	4.385552	4.964248	4.515701	7.538394	8.895836	8.454368	8.757221	8.086127	7.54798	7.807187	5.290582	4.711301	5.546871	5.311471	6.45109	5.420099	6.025252	4.706844	5.550357	6.073489	7.117873	6.243622	6.056563	6.779821
"ATNAS4..NAS4"	4.304992	4.548122	2.466591	3.28069	3.281354	3.943262	3.943159	5.432277	2.93907	5.227585	6.554525	5.316524	4.269962	5.264374	5.695302	5.440931	4.816928	7.291092	7.490616	6.545663	6.975334	4.992464	6.008212	7.583929	8.729228	8.469009	7.014424	8.646534
"ATBG1..BGL1..BGLU18"	4.225867	3.326355	3.202924	2.191672	3.543464	2.742526	3.627464	4.101184	4.125934	4.282702	4.448951	4.659834	6.091597	6.945729	5.599647	5.675191	6.156743	5.165405	5.399078	5.941958	5.904742	4.837575	5.934034	6.952622	5.83781	6.033088	6.264551	7.44538
"PLDALPHA4..PLDEPSILON"	3.109936	2.01821	3.349624	3.304467	2.760242	1.333327	2.359531	1.92403	3.025997	4.3599	3.79757	4.992247	2.957376	3.704079	4.655766	5.100835	6.305869	2.949324	4.144798	2.232443	1.942895	5.67686	8.033335	8.20813	8.035207	6.522317	6.488084	7.052188
"LAX3"	6.832655	5.553278	5.348765	4.419069	4.419393	5.802742	4.090946	9.608219	7.408174	8.493039	7.810095	8.489551	8.436167	8.402271	9.960493	7.472422	7.799773	7.907781	8.729923	9.04583	8.568359	9.652332	8.643019	9.395388	10.429366	10.537653	10.450743	10.79561
"UGE3"	6.297863	6.246922	6.041384	4.866323	4.566787	4.854522	5.081737	8.072454	9.523337	8.030368	7.051813	6.95092	7.231835	7.432943	10.765019	11.589797	10.937842	9.772761	9.654105	9.688834	9.958276	8.723492	10.400702	10.494269	9.337237	8.391102	9.262297	9.860112
"AtMYB20..MYB20"	4.879597	5.245544	2.354017	3.077233	3.565821	3.07692	3.574613	7.500391	6.819538	6.172109	6.474599	5.417221	5.934512	5.646933	8.810871	7.763353	6.92126	7.0234	5.948993	7.102787	7.217977	8.107796	8.556031	9.263695	8.975669	8.498195	9.165299	9.188372
"ATGA2OX2..GA2OX2"	5.252487	3.987418	3.921609	4.037468	4.015944	3.228481	4.22964	6.241189	4.478784	5.968826	6.192449	5.657926	5.486621	6.028114	7.513396	7.006393	7.597517	7.561295	7.03814	7.545935	6.819803	6.977691	7.665169	7.865879	8.353957	7.089429	7.771586	7.781299
"ATTPPB..TPPB"	4.394287	2.266338	2.655503	2.272197	3.072232	2.803454	2.111921	7.876909	4.909982	6.529492	6.294265	6.459663	5.16164	5.284964	9.706213	6.689314	3.920668	6.320599	6.885673	6.300593	4.131258	8.896603	7.579684	6.97387	7.865237	7.93098	7.199185	7.248278
"ATSUC1..SUC1"	6.457345	4.231882	4.054053	3.834929	3.122944	4.278837	5.164975	10.51453	7.251601	9.410389	8.173374	7.73803	7.881114	8.095327	9.651484	8.22369	8.468893	8.21942	8.064744	8.680504	9.345549	9.066695	9.382011	9.940104	9.255478	9.092449	10.035046	10.126621
"ABCG25..ATABCG25"	5.545081	5.116677	3.630256	4.112562	3.900322	1.96051	3.52188	7.336916	6.940068	5.875862	5.726665	5.521219	4.492379	4.890552	9.09541	8.277876	7.073781	6.010258	5.96162	6.516324	5.868855	8.116576	8.857603	9.099537	8.191704	7.603827	7.650579	7.165492
"IAA6..SHY1"	6.168252	3.860062	3.818666	3.480824	4.702189	3.726748	4.713399	5.282532	4.950904	4.131316	5.884925	6.516718	7.269821	6.881451	6.004587	4.372352	3.356908	4.958358	4.485558	5.330261	5.091247	6.865295	6.815943	5.448209	7.662399	7.135086	7.73775	7.807508
"ATROPGEF12..MEE64..ROPGEF12"	6.926093	6.055143	5.368778	5.401258	5.505644	4.357989	4.138865	6.317871	4.353362	5.940809	6.271201	6.353104	5.579259	2.802059	5.816741	2.579277	3.449958	5.119034	4.554908	4.834639	1.391597	7.516378	6.221702	5.977312	5.878592	7.787959	6.85994	5.676253
"ANAC030..VND7"	4.670019	3.574629	1.065013	1.157643	1.615785	3.13855	3.558396	6.364645	5.200102	6.163469	5.542398	6.133728	5.575117	5.365762	6.592161	6.29888	6.236391	5.697845	6.292456	4.936244	4.419289	7.286559	8.196197	8.35967	9.007613	7.836947	7.964323	7.813763
"ATMYB31..ATY13..MYB31"	3.934987	2.906444	3.295674	2.252284	4.832663	6.058852	5.845772	5.457777	3.563951	5.235453	5.596798	5.558347	5.469349	4.452568	3.053092	3.384787	3.747394	2.70256	2.134014	4.093287	3.587728	4.732883	4.856155	3.067416	2.265678	3.413881	5.04157	3.310235
"ATMYB95..ATMYBCP66..MYB95"	3.328078	2.6876179	1.6789258	0.7463462	1.0251449	5.0668815	3.1408823	6.5494179	5.8589255	5.4506646	5.8812192	6.5073506	6.3994012	6.9805091	3.7373493	3.5910839	4.7197036	1.9953874	3.241636	4.7118713	3.9218275	5.3131744	5.5725954	4.3355019	4.0720873	3.9249108	5.6837653	5.4180309
"AtEGL3..ATMYC.2..EGL1..EGL3"	5.989997	6.364727	6.560836	6.714661	6.626817	7.193337	6.725809	5.220505	5.957685	5.883654	6.205191	6.253952	6.560686	5.723072	4.140423	3.258479	4.471465	3.944492	3.687968	3.729067	4.885177	1.586561	5.453162	1.560649	4.414591	5.678539	4.56577	4.770516
"APG13..ATMURE..MURE..PDE316"	2.844402	4.456564	6.404728	5.53075	5.112729	6.275141	6.171206	1.62844	2.873757	3.636646	3.516781	5.530559	5.056087	4.74469	1.965181	3.126655	3.021828	4.625031	4.591583	4.477909	5.009979	3.018825	4.658058	5.362197	2.925199	3.509293	5.144174	3.273921
"ATGA3OX2..GA3OX2..GA4H"	3.500671	3.161504	2.103996	1.494422	2.966277	1.619734	2.381644	5.417683	2.176964	5.276207	5.28176	5.815175	5.653519	5.914456	3.170204	2.328667	2.546297	2.981323	3.415138	2.143834	2.080695	2.940076	2.20085	3.657199	2.554616	2.064204	1.636393	3.101144
"AtMYB103..MYB103"	3.897039	2.644823	1.486025	2.066597	3.945119	2.878214	1.62188	2.544698	2.94987	3.54775	3.898672	1.95995	2.890778	3.55201	3.730086	3.2349	2.339805	3.930698	4.697169	2.610738	2.757557	3.31531	5.525222	5.683207	4.172994	4.23798	4.048636	4.503135
"ATK1..KNAT2"	1.282525	3.589259	3.11409	3.979973	2.852714	3.667878	2.536998	2.243951	4.970824	4.787375	3.233196	3.489687	4.053606	4.139115	4.353105	5.08506	4.483384	5.419813	5.792215	6.200546	5.710998	3.994129	3.185632	4.122027	4.677504	3.840095	3.799048	2.509298
"ATMYB122..MYB122"	4.241275	4.667052	3.124368	4.090297	3.115623	1.303779	3.783926	8.533911	8.641321	8.101819	8.46422	8.801091	7.409771	8.575991	10.123633	10.530775	10.302058	10.442205	9.62465	9.147281	9.380429	8.080354	8.039151	8.7638	8.167906	7.592678	6.863944	7.601157
"AtNPF2.13..NPF2.13..NRT1.7"	2.800418	2.950407	3.328017	2.564186	2.046631	2.095249	3.867946	4.849168	5.571344	5.332782	3.220393	3.477012	4.973872	5.489563	4.374415	5.162731	3.807052	4.505256	4.763917	5.792555	3.965795	4.085321	5.076535	5.540498	4.488002	5.125685	5.024433	3.890406
"ACH1..ATNRT2.1..ATNRT2.1..LIN1..NRT2..NRT2.1..NRT2.1..NRT2.1AT"	5.240303	2.62267	2.866574	7.250295	3.681976	3.088397	3.665691	3.399394	4.100778	7.174225	6.112695	4.437581	5.210033	3.891862	3.707169	4.469041	5.035315	5.113766	3.5532	4.054851	3.01782	5.598341	4.220455	5.977804	8.133915	5.32649	4.816588	2.62776
"AtNPF7.3..NPF7.3..NRT1.5"	2.734578	1.596835	2.376743	2.344049	4.248024	2.342313	2.65035	6.102563	4.115368	3.945765	5.515657	4.508273	4.204334	4.179681	5.348961	4.143948	5.73094	3.490439	4.871724	3.823728	3.260284	6.303048	6.446365	6.460561	5.191223	4.279795	4.902908	5.781686
"ATGA2OX1..GA2OX1"	3.128667	3.708353	2.036165	3.569043	2.632757	3.568406	2.170761	3.339143	5.284679	4.490807	3.252498	2.972766	4.024076	3.293963	6.315804	6.278442	5.28757	4.619066	4.474	2.932501	3.010698	4.944449	7.213905	5.383856	3.878829	4.223272	5.873873	5.0491
"EMB173..FIS1..MEA..SDG5"	5.836024	5.949303	2.718829	2.137019	3.287977	2.275755	2.027549	5.663028	4.549661	3.604404	3.433422	3.478463	4.758983	3.225753	4.387632	3.456547	3.944597	3.719006	3.747445	2.780337	4.198726	6.793297	5.558646	4.016085	3.148555	4.655127	3.564719	2.4783
"ATBXL2..BXL2"	5.320807	2.938781	4.209727	4.423844	2.325595	4.171301	4.774711	6.801872	6.763886	5.891941	5.841151	6.407828	6.302404	5.7336	7.538154	7.000922	6.39137	6.513852	6.515404	7.105741	6.673156	8.176892	10.004852	9.280392	10.646684	9.533095	10.276015	10.370961
"ANAC007..EMB2749..NAC007..VND4"	5.403726	4.106534	3.305135	3.820239	4.395181	3.94543	5.329985	5.974567	5.445795	5.552862	5.893975	5.356942	5.72699	5.820162	6.575255	6.569246	6.660379	5.819219	6.153382	5.77899	5.528571	7.045232	8.06684	8.529823	8.856017	8.185342	8.686977	8.578886
"LCR78..PDF1.4"	5.244452	3.44645	4.268213	4.899717	4.63041	5.001538	4.867743	2.399082	1.500475	5.378235	6.935606	7.218648	6.01744	6.369048	4.867464	5.232592	5.256429	6.539975	5.436044	6.273763	6.869932	3.255352	5.569253	3.462425	4.978768	5.394984	3.890732	4.888249
"ATLFNR2..FNR2..LFNR2"	2.859214	3.575965	3.045366	2.853085	3.111809	4.695539	5.34033	5.577648	6.571069	6.400784	6.699919	6.092945	5.974792	4.928225	2.495656	4.634058	4.099117	3.352954	5.292389	4.2188	4.217838	2.671797	3.584838	4.173824	3.387088	1.807917	3.999539	4.364502
"RTM1"	3.888357	4.045234	3.579476	4.52603	4.254898	1.664594	3.911859	5.368325	4.237078	4.802764	3.701133	4.859474	4.263686	2.698983	5.842308	5.899664	5.734315	5.714021	5.979451	4.95434	5.627508	3.159683	6.75482	5.834087	6.64936	5.788267	5.043033	6.554685
"RKL1"	6.23115	4.883165	2.81041	3.934937	2.927302	2.613344	3.181997	8.864537	6.694576	7.761624	5.900526	5.764642	5.142941	5.538059	8.605788	8.196456	7.538609	7.687038	8.115976	7.990483	7.254935	8.423173	6.168965	5.1054	5.49436	5.902177	6.07403	6.300968
"DTA4"	2.3916359	0.9720806	1.0970673	2.2302789	1.6780357	2.5662246	2.9575473	5.0965077	2.980525	3.3527474	2.9312406	3.7610643	3.0599182	3.4021673	6.582793	2.8766811	4.3095436	3.5055066	3.8582891	4.8981352	3.492626	5.2869308	5.5438057	4.7261253	4.5401912	5.6692904	6.5222289	6.581869
"SDE3"	3.46026	3.639445	5.681749	5.289641	5.351153	5.988135	5.921103	1.789332	4.275451	4.298599	5.185879	4.003206	5.663399	4.673321	4.499786	4.253871	5.411882	4.678674	4.911294	5.171486	4.331585	2.979033	3.295176	2.809549	4.334246	2.003369	4.232924	3.414135
"CVP2"	3.838195	2.580359	3.682833	1.085831	2.139982	3.476071	2.213679	3.693582	2.030264	3.138962	2.623667	3.494939	3.961093	3.416604	2.701295	2.093072	3.360401	3.242663	3.691611	1.875579	2.18694	4.34335	5.283062	5.827989	5.940032	4.731666	5.435516	6.391629
"OBP2..URP3"	5.449181	4.819334	4.745823	4.336321	4.049907	4.238791	4.14546	7.918655	7.088339	7.267804	6.505975	6.496025	6.302307	6.403446	9.115	8.378984	8.664365	7.675986	7.840888	8.380543	7.99869	8.039701	9.267256	9.143932	8.622463	8.49658	9.318983	9.084707
"KCS3"	3.797128	2.742211	2.579823	3.966322	4.115652	2.902507	3.296371	3.92859	5.268505	6.34044	6.210219	3.829267	4.61189	4.72993	2.822013	4.538854	3.743316	2.784588	3.926325	3.714093	3.789531	4.520647	4.532948	5.234519	4.29417	3.404782	2.511521	3.064126
"ATICS2..ICS2"	5.173848	4.977448	3.854927	3.004073	4.057823	4.636973	4.026859	6.673943	7.250721	7.572775	6.514506	7.257353	8.242592	9.436316	4.492121	4.991627	5.600515	5.196454	4.497085	4.596001	4.97281	6.783727	7.397805	6.74864	5.643917	5.001057	5.486741	7.052307
"AtMYB47..MYB47"	1.329334	2.227959	2.458768	3.6663	4.747775	5.086811	4.341358	1.490527	4.141392	3.921671	5.925034	6.199996	6.615628	6.884197	2.837673	4.806172	1.65341	2.525513	2.70194	5.391934	4.112141	1.806524	4.788883	2.330433	3.010426	2.894697	5.630325	2.701252
"PKS2"	6.4308408	3.5124924	2.52737	2.4451513	1.0695636	0.7694848	2.6941614	9.6656498	6.3737551	8.2075785	6.7797793	7.1432805	8.0526675	7.4939894	7.5878108	1.926549	2.5179642	1.9363213	5.6490583	6.1313363	5.0980762	6.9390412	1.834522	1.8950476	3.3611329	3.6291057	4.6690576	5.4387114
"ATSBT1.1..SBTI1.1"	3.62255	2.537642	2.962562	2.438267	1.654492	1.450653	1.484746	5.987773	5.170494	5.094862	5.888041	5.173262	3.483714	4.683358	6.41991	6.041152	5.50944	5.604704	5.701588	5.711813	5.255058	6.995144	8.469025	7.564479	9.509056	8.933449	8.738793	8.149988
"PSAO"	4.60248	3.779147	2.074084	4.892586	2.459445	4.962366	3.643284	9.297085	10.060992	9.859469	9.968967	9.170128	8.860347	9.524926	7.574578	6.419918	6.289595	7.177291	7.600939	7.33185	7.244417	7.417971	7.832282	6.609229	7.375305	6.4107	7.288877	7.953993
"ATGA3OX1..GA3OX1..GA4"	4.135147	4.01901	3.435363	3.850984	4.08092	3.827525	4.63509	9.074949	9.035006	8.299367	8.27784	9.166045	9.2775	8.837127	8.32244	6.691671	7.381776	6.59773	7.759697	8.744005	8.402888	6.303433	6.847667	5.563849	5.535984	6.097182	6.718976	6.477126
"PETE1"	3.114298	1.906041	2.769195	1.999908	2.129501	2.236909	3.88855	6.360141	5.872346	5.42771	5.424931	5.000798	4.866803	5.229441	4.104231	2.254163	2.495516	1.607585	2.050395	2.12515	2.040826	2.512411	2.314611	2.922628	3.069173	3.6323	2.373584	2.841415
"ATCPSF30..CPSF30"	3.673158	5.428808	6.201388	4.646974	5.815672	6.287815	6.122047	2.796873	4.706155	4.11052	4.38616	4.819282	5.026867	3.975501	1.912574	3.124316	4.744805	3.143851	3.419278	3.996463	4.684726	3.345216	4.206312	5.203619	4.677947	3.680342	5.571668	5.123046
"ATNRAMP6..NRAMP6"	4.748627	2.543482	2.401316	2.871884	4.57361	3.460092	2.974342	4.939149	5.526359	5.334371	5.121842	4.644503	4.215122	4.00189	5.42869	4.447983	4.285012	5.29724	4.719096	5.173898	3.941793	5.121143	8.081458	6.533435	7.275555	5.901183	6.523599	6.04123
"NIP6..NIP6.1..NLM7"	4.317918	3.940152	3.437743	3.20312	3.676196	4.19902	3.060017	6.708407	5.955253	5.983817	5.317536	5.91967	6.51152	6.110093	7.014859	3.649913	4.026899	4.291614	3.307523	3.726558	5.72216	5.849553	5.251903	5.28917	5.802257	5.982447	5.737164	5.836944
"ZCF125"	5.381276	5.610982	5.810518	6.773427	5.636439	6.459805	6.682457	3.045709	3.390615	5.445218	5.424385	5.728764	5.815609	5.497218	2.040219	4.099081	2.350719	4.915922	4.566728	5.391086	5.0907	4.105462	3.618718	3.583218	4.87356	5.122606	4.223487	4.815347
"ATGSTF4..GST31..GSTF4"	3.762311	1.602663	3.515275	3.050933	4.094148	3.948388	4.079388	1.285225	2.040844	1.590086	3.68308	3.530642	4.216712	3.847662	5.055316	3.973757	5.390998	5.201528	5.425831	4.256158	3.594199	3.577671	5.248048	5.071164	5.569301	5.068443	5.420359	6.759975
"AST56..SULTR2.2"	3.790322	1.274663	2.682863	1.546237	2.660543	3.16352	2.627455	8.093638	5.508346	7.054856	5.055729	6.28709	6.401186	6.999146	6.612598	3.747116	2.381627	3.030934	2.345649	2.549446	4.603445	6.336383	2.477122	1.602624	2.539971	3.388635	1.146274	2.900459
"PHO1.H1"	3.960421	2.922674	4.115103	3.587519	5.04856	4.059314	2.979951	3.324261	2.363879	3.400969	4.178845	4.255746	3.668782	3.499435	6.471042	5.523069	6.046379	5.087895	5.864004	3.115981	5.782801	5.73851	6.524115	6.096398	4.972121	4.098788	5.242473	5.34178
"DEP"	4.820155	5.002051	4.076411	3.600945	2.1972	3.242014	3.369586	5.86991	5.877052	5.351472	4.3438	2.383994	3.813428	4.181525	6.323104	5.825858	4.438577	5.119147	2.364198	5.706541	3.258025	5.080915	4.872294	2.997184	4.78235	4.697001	4.581149	4.191301
"PAC"	3.639452	5.014732	5.897139	5.701392	6.336359	6.918563	7.030049	4.178325	5.273281	4.543417	4.876993	5.648837	6.245163	5.967899	2.3236	5.074765	3.387391	4.368729	6.177983	5.710879	6.252503	5.101488	3.875128	2.944113	2.523862	4.19959	5.564502	6.14087
"ATCHX16..CHX16"	5.813815	4.132724	4.95728	4.777502	3.715091	4.484377	4.584464	5.415025	1.726546	4.45015	4.839629	4.946788	3.78182	2.991692	3.744744	3.952708	4.350139	3.047624	3.155001	2.690653	3.458076	7.618789	4.189201	5.725313	4.086676	5.144874	4.013718	3.810162
"ATWRKY56..WRKY56"	4.748121	4.475653	1.917232	4.527604	3.007495	3.956335	4.262557	2.406211	4.775351	4.651409	5.939307	3.509377	4.133759	2.738408	4.827178	6.376923	8.168827	8.803991	6.958479	3.896037	5.577237	4.740951	4.250864	5.346418	6.225628	4.458542	4.917147	2.616174
"AtMYB93..MYB93"	3.863841	3.356761	4.129728	3.583345	2.207861	3.208468	2.724738	4.195913	4.804282	6.901568	7.394833	3.940745	3.872279	3.005775	7.740561	9.649823	11.234355	10.631763	8.729824	6.966888	7.659045	6.154938	6.675474	8.802788	7.859805	5.098976	4.815942	4.223438
"LACS2..LRD2"	2.851638	3.300856	3.759388	2.971152	3.955642	1.799401	3.405743	1.983428	4.317766	4.846518	6.699713	3.285979	3.300444	2.739746	4.038006	3.970665	6.757953	8.924407	8.24145	4.874385	5.328118	2.426016	3.704758	3.534984	6.387973	4.226301	2.305126	2.123187
"CYP96A8"	7.070079	6.643315	6.919773	7.237018	6.465458	7.228574	6.711016	4.946669	4.064192	5.524584	5.006092	5.905513	5.650517	4.418057	3.983221	4.079425	4.004793	3.898534	4.013052	4.501973	3.70692	5.209875	3.436527	4.305847	2.90361	3.770976	4.071968	2.63554
