"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"
"ACS5..ATACS5..CIN5..ETO2"	4.6361974	2.4576937	1.9086985	1.7969176	2.866438	2.3173383	3.2833341	4.9196629	2.4533776	2.7644403	3.2151325	2.7424873	0.7859414	3.1111022	5.5420648	3.239907	2.9183052	2.7417154	2.3457853	2.7936191	2.0323137	7.4253552	0.6291688	2.3637198	0.2647554	2.614164	2.294337	2.706049
"ATMYB68..MYB68"	5.461737	3.307093	4.186655	4.923796	2.317563	2.624942	4.666769	7.201229	7.334962	7.206344	7.479785	6.742894	6.460463	7.131631	8.871008	9.106866	10.462148	10.83929	10.294812	10.212633	10.144095	7.920426	8.59167	8.946363	8.756281	7.828723	7.677996	7.852654
"AtMYB53..MYB53"	3.681159	2.741338	2.345794	2.723993	2.396796	2.110878	4.432711	4.566934	3.232804	4.384321	5.00281	3.989155	3.759265	3.612459	5.476548	6.344956	6.456686	6.748599	6.005343	4.723731	5.239892	4.809837	3.715229	5.011169	4.433557	4.273141	3.567303	2.763121
"ATBXL4..XYL4"	5.619075	5.30601	4.406813	4.900486	3.849173	5.835028	5.912251	10.143598	11.500611	9.181619	9.297021	9.367976	9.469652	10.035534	9.423032	11.175042	9.801291	10.530535	10.776473	10.882508	10.438708	9.27788	9.657908	8.665177	8.863573	8.911374	8.755557	8.798733
"AAP4"	4.677973	3.843026	5.589122	4.652918	4.854178	5.18923	2.532138	7.386841	6.617656	7.334778	6.602365	6.637892	5.493901	6.090923	8.469647	7.351271	8.848915	7.901755	8.024165	7.629996	7.107025	6.869599	9.442663	9.034641	9.235284	8.696643	8.601504	8.614089
"PSAN"	2.893343	2.880808	3.770553	2.184374	2.612506	2.422074	3.159619	8.157348	8.686337	8.234916	8.263653	7.65807	7.726487	8.073164	6.194093	4.048285	4.134483	5.35926	5.377093	4.960658	4.841266	6.726428	6.047154	5.173138	5.303482	5.618725	6.489297	5.873887
"ARR6"	6.135741	5.568543	1.48625	2.229822	2.873339	4.089423	1.501958	6.01744	2.375551	3.749458	5.362822	5.631822	6.289251	5.698285	4.877229	3.619975	3.457401	3.067541	4.3192	3.054499	2.048311	7.174556	3.558245	4.866496	2.445771	3.416274	3.51232	2.638214
"ATHVA22B..HVA22B"	3.926618	5.105083	8.476582	6.300073	6.146244	5.635075	5.642568	1.835654	6.981557	7.299804	6.831663	5.829979	6.126945	5.163764	2.59557	4.889807	5.823273	4.741308	5.302242	4.617835	2.809669	1.994442	8.52957	8.206036	5.442015	5.689139	5.302982	4.46913
"ATBAG2..BAG2"	6.4343739	5.5550515	2.3857311	3.1508756	3.286727	0.9020221	3.2633683	6.8484543	6.0157113	5.9680884	3.8636257	4.8582587	5.4390208	4.2625875	7.1923044	5.1670575	5.3924196	2.3877837	3.6444702	3.3773959	5.4923892	7.4418203	6.2920363	5.6433557	5.9395967	5.4798239	6.0308991	5.2549431
"AGL42..FYF"	4.079501	2.014784	2.269681	1.689741	3.642609	5.322369	5.259991	5.057149	6.007655	4.601137	4.876894	6.665347	6.804664	7.710037	6.410934	6.200774	6.338629	6.902341	7.780408	7.586206	8.75747	6.460442	6.173495	5.543815	5.942891	6.514304	6.548686	8.229251
"CYCP4..CYCP4.2"	7.826598	6.537436	4.447957	3.887078	6.785912	6.099042	4.291211	7.445184	5.703741	6.533464	6.528969	7.553951	6.644521	5.284659	7.156777	6.059612	4.200034	3.022918	4.60256	5.260357	1.190028	8.728552	6.901707	5.858573	6.474914	8.609874	7.607683	6.111397
"ATMYB34..ATR1..MYB34"	3.752788	3.073907	2.539267	2.339946	3.504233	4.371877	4.239626	8.2686	7.110414	7.953097	7.631167	8.212891	9.038875	9.009469	7.455632	4.546495	5.582666	7.518732	9.384301	9.087127	7.949277	7.819829	8.45268	8.451266	7.684475	8.444467	8.477846	8.792764
"TMO6"	7.495367	6.420254	6.164626	4.805019	6.039182	6.250854	7.008808	8.286398	7.700476	7.929903	7.599391	8.21566	8.030732	8.224855	9.811152	8.936852	9.778947	9.339204	10.89273	11.450589	11.254085	9.659438	11.799615	11.664147	10.564652	10.610777	11.83943	12.378647
"ARF4"	3.658452	2.221914	3.285644	3.157401	3.45741	2.518264	3.353727	5.24476	3.888884	4.907042	3.190026	5.18539	3.40424	4.756393	5.812349	5.218684	5.695988	4.873287	5.059704	5.607674	5.281132	5.48552	6.189682	5.790279	5.824054	5.322666	5.118357	4.916575
"ATLAC17..LAC17"	7.195355	5.455341	4.553481	4.518855	3.694286	4.531472	5.776224	8.176896	6.880477	8.124732	7.513899	7.946949	7.614598	7.362761	8.413236	8.469285	8.815252	8.088214	8.035554	8.045803	7.547851	8.915121	10.454535	10.733842	11.395989	10.284211	10.857698	10.950214
"ATMYB59..ATMYB59.1..ATMYB59.2..ATMYB59.3..MYB59"	5.1602	4.143692	3.144676	5.476157	4.460105	3.777306	3.572743	7.091643	6.404383	5.641475	6.047289	5.646035	5.792458	6.482145	9.159661	7.29105	7.124318	6.177455	7.231045	6.841265	7.100425	8.413531	8.913558	8.980967	7.63216	7.933975	8.184441	8.584567
"LTP3"	3.002089	3.599574	4.829519	4.605298	1.936396	5.043386	5.38533	3.899411	3.159204	5.291845	7.278728	6.362838	6.346036	5.262851	4.178956	5.182345	3.898854	4.773713	4.682262	2.949473	4.508506	2.039041	4.260284	2.743721	4.411398	4.215469	4.101411	4.729264
