"brain__day0"	"brain__day0"	"brain__day155"	"brain__day155"	"brain__day70"	"brain__day70"	"heart__day0"	"heart__day0"	"heart__day155"	"heart__day155"	"heart__day70"	"heart__day70"
"ENSGALG00000017926"	457	457	13	13	262	262	99	99	430	430	60	60
"ENSGALG00000018534"	6	6	6	6	3	3	1	1	20	20	7	7
"ENSGALG00000019019"	0	0	0	0	0	0	0	0	0	0	2	2
"ENSGALG00000019026"	96	96	8	8	1	1	0	0	0	0	0	0
"ENSGALG00000019240"	17	17	10	10	11	11	3	3	0	0	2	2
"ENSGALG00000019484"	26	26	47	47	20	20	7	7	12	12	7	7
"ENSGALG00000019662"	27	27	136	136	39	39	0	0	0	0	0	0
"ENSGALG00000019756"	0	0	2	2	1	1	0	0	0	0	0	0
"ENSGALG00000019844"	0	0	0	0	0	0	1	1	3	3	0	0
"ENSGALG00000019845"	0	0	0	0	1	1	0	0	198	198	2	2
"ENSGALG00000019846"	0	0	0	0	0	0	0	0	4	4	3	3
"ENSGALG00000019848"	0	0	0	0	0	0	3	3	1	1	3	3
"ENSGALG00000019932"	175	175	127	127	150	150	16	16	11	11	22	22
"ENSGALG00000020388"	0	0	0	0	1	1	0	0	1	1	0	0
"ENSGALG00000020679"	3	3	3	3	2	2	10	10	17	17	3	3
"ENSGALG00000020827"	10	10	3	3	3	3	0	0	3	3	0	0
"ENSGALG00000020921"	183	183	223	223	183	183	72	72	58	58	101	101
"ENSGALG00000021126"	2	2	8	8	1	1	5	5	17	17	6	6
"ENSGALG00000021163"	0	0	3	3	0	0	1	1	7	7	10	10
"ENSGALG00000021183"	63	63	51	51	53	53	0	0	3	3	0	0
"ENSGALG00000021274"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000021286"	3	3	1	1	28	28	1	1	0	0	2	2
"ENSGALG00000021357"	23	23	58	58	25	25	77	77	31	31	67	67
"ENSGALG00000021552"	5	5	4	4	15	15	1	1	2	2	1	1
"ENSGALG00000021772"	2	2	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000021855"	177	177	107	107	102	102	11	11	7	7	2	2
"ENSGALG00000022137"	5	5	6	6	14	14	27	27	20	20	55	55
"ENSGALG00000022206"	2	2	1	1	0	0	0	0	0	0	1	1
"ENSGALG00000022976"	16	16	1	1	0	0	0	0	0	0	1	1
"ENSGALG00000023172"	248	248	165	165	360	360	18	18	2	2	72	72
"ENSGALG00000023395"	37	37	30	30	36	36	403	403	218	218	1565	1565
"ENSGALG00000023760"	0	0	0	0	1	1	0	0	13	13	2	2
"ENSGALG00000023953"	91	91	54	54	64	64	102	102	179	179	139	139
"ENSGALG00000024136"	24	24	24	24	4	4	0	0	0	0	4	4
"ENSGALG00000024428"	19	19	22	22	15	15	24	24	5	5	3	3
"ENSGALG00000024470"	1	1	4	4	2	2	880	880	1862	1862	3676	3676
"ENSGALG00000025945"	7	7	96	96	41	41	17	17	61	61	22	22
"ENSGALG00000026086"	21	21	5	5	9	9	0	0	0	0	0	0
"ENSGALG00000026137"	0	0	3	3	9	9	0	0	0	0	1	1
"ENSGALG00000026187"	14	14	16	16	10	10	188	188	270	270	162	162
"ENSGALG00000026733"	1	1	4	4	0	0	4	4	5	5	0	0
"ENSGALG00000026747"	34	34	24	24	35	35	8	8	10	10	11	11
"ENSGALG00000026754"	34	34	17	17	82	82	0	0	0	0	2	2
"ENSGALG00000026790"	7	7	2	2	24	24	0	0	0	0	1	1
"ENSGALG00000026991"	604	604	285	285	201	201	5	5	0	0	1	1
"ENSGALG00000027090"	136	136	26	26	124	124	1	1	18	18	239	239
"ENSGALG00000027103"	25	25	22	22	16	16	0	0	1	1	1	1
"ENSGALG00000027147"	9	9	10	10	1	1	14	14	6	6	9	9
"ENSGALG00000027287"	101	101	189	189	238	238	165	165	338	338	321	321
"ENSGALG00000027323"	2	2	1	1	1	1	10471	10471	3268	3268	3313	3313
"ENSGALG00000027484"	10	10	16	16	22	22	0	0	9	9	6	6
"ENSGALG00000027526"	32	32	36	36	43	43	14	14	2	2	2	2
"ENSGALG00000027702"	45	45	64	64	5	5	0	0	0	0	3	3
"ENSGALG00000027772"	1	1	0	0	0	0	0	0	0	0	3	3
"ENSGALG00000027791"	3	3	0	0	1	1	0	0	0	0	1	1
"ENSGALG00000027809"	62	62	90	90	52	52	0	0	3	3	0	0
"ENSGALG00000028207"	181	181	197	197	183	183	11	11	14	14	14	14
"ENSGALG00000028402"	1	1	0	0	0	0	2462	2462	239	239	47	47
"ENSGALG00000028457"	36	36	70	70	38	38	9	9	4	4	4	4
"ENSGALG00000028539"	82	82	15	15	156	156	4	4	5	5	3	3
"ENSGALG00000028560"	6	6	6	6	6	6	239	239	166	166	2546	2546
"ENSGALG00000028666"	11	11	30	30	11	11	1	1	2	2	2	2
"ENSGALG00000028982"	74	74	302	302	459	459	10	10	534	534	178	178
"ENSGALG00000028988"	0	0	0	0	0	0	1	1	2	2	2	2
"ENSGALG00000028991"	0	0	0	0	0	0	1	1	0	0	0	0
"ENSGALG00000029002"	6	6	1	1	1	1	11	11	8	8	4	4
"ENSGALG00000029006"	9	9	19	19	5	5	54	54	25	25	79	79
"ENSGALG00000029023"	1	1	6	6	0	0	7	7	5	5	10	10
