"cell"	"cluster"
"246"	"C1.1772099.008.A07"	"clus9"
"247"	"C1.1772117.102.A01"	"clus6"
"248"	"C1.1772099.093.D09"	"clus6"
"249"	"C1.1772117.104.G06"	"clus6"
"250"	"C1.1772117.101.F06"	"clus6"
"251"	"C1.1772099.090.F02"	"clus6"
"252"	"C1.1772117.102.G09"	"clus6"
"253"	"C1.1772099.093.D08"	"clus4"
"254"	"C1.1772117.100.A09"	"clus6"
"255"	"C1.1772099.090.C11"	"clus6"
"256"	"C1.1772117.100.D09"	"clus2"
"257"	"C1.1772117.104.B05"	"clus6"
"258"	"C1.1772099.093.B04"	"clus6"
"259"	"C1.1772099.090.D12"	"clus6"
"260"	"C1.1772099.090.E04"	"clus6"
"261"	"C1.1772117.151.H09"	"clus6"
"262"	"C1.1772099.090.D04"	"clus6"
"263"	"C1.1772092.002.E11"	"clus4"
"264"	"C1.1772092.002.E04"	"clus4"
"265"	"C1.1772092.002.D02"	"clus4"
"266"	"C1.1772099.092.H04"	"clus6"
"267"	"C1.1772117.154.F11"	"clus4"
"268"	"C1.1772099.301.D09"	"clus4"
"269"	"C1.1772099.090.D02"	"clus4"
"270"	"C1.1772099.093.H02"	"clus6"
"271"	"C1.1772099.090.F06"	"clus6"
"272"	"C1.1772096.094.B09"	"clus3"
"273"	"C1.1772117.100.E11"	"clus2"
"274"	"C1.1772099.009.C11"	"clus9"
"275"	"C1.1772096.086.G11"	"clus3"
"276"	"C1.1772117.104.B12"	"clus6"
"277"	"C1.1772117.101.C12"	"clus2"
"278"	"C1.1772071.040.C11"	"clus3"
"279"	"C1.1772099.093.D04"	"clus6"
"280"	"C1.1772117.108.F07"	"clus2"
"281"	"C1.1772117.104.C06"	"clus2"
"282"	"C1.1772117.156.H07"	"clus6"
"283"	"C1.1772099.012.C11"	"clus9"
"284"	"C1.1772099.303.D03"	"clus2"
"285"	"C1.1772117.039.D07"	"clus5"
"286"	"C1.1772117.100.F01"	"clus2"
"287"	"C1.1772099.045.F09"	"clus9"
"288"	"C1.1772062.115.C07"	"clus3"
