"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"
"Sh3gl2"	730	1016	306	1363	861	757	365	2659	751	888	578	1785
"Shank2"	75	108	37	209	130	118	33	254	125	126	45	385
"Sipa1l1"	392	694	108	113	537	582	123	111	444	433	179	151
"Slc17a6"	50	64	359	34	91	54	306	48	77	63	443	29
"Slc17a7"	1549	2623	65	784	2384	2594	77	2072	1818	2073	103	1258
"Slc1a1"	70	175	52	23	104	125	29	39	62	113	55	40
"Slc1a3"	529	1156	678	1891	847	1062	787	2560	751	1028	1085	3165
"Slc6a11"	237	427	1279	99	423	326	1242	225	317	328	2015	147
"Snca"	491	1029	197	161	737	986	173	104	605	1138	268	218
"Snph"	231	536	73	77	407	460	76	233	310	435	150	130
"Snrk"	105	190	140	616	170	168	154	1090	118	132	238	1018
"Sorl1"	413	617	125	833	497	431	129	1097	360	407	224	1129
"Sowaha"	38	241	21	60	71	163	25	84	63	162	31	71
"Sparc"	527	1237	4024	2452	742	936	4415	6156	720	1030	6533	3536
"Sphkap"	103	381	77	549	195	287	61	693	116	234	113	827
"Sprn"	51	119	13	13	84	84	11	18	46	84	14	16
"Sst"	86	203	58	2	238	159	70	3	127	186	118	3
"St6galnac5"	74	387	19	9	103	301	22	5	102	282	43	6
"Stmn1"	279	269	250	188	544	189	293	317	986	509	788	376
"Stum"	96	393	35	12	146	370	52	10	108	285	38	11
"Stx1a"	268	93	31	3	315	93	50	3	303	92	64	7
"Stxbp6"	94	234	52	15	153	170	53	22	88	142	97	24
"Syne1"	402	663	182	1259	618	624	250	2032	482	557	286	1491
"Syt16"	42	48	23	5	67	31	27	2	43	32	23	3
"Syt5"	98	145	74	4	121	81	91	5	87	104	106	7
"Tbr1"	259	163	12	0	456	142	18	2	323	135	25	2
"Tiam1"	42	170	34	255	99	116	41	430	87	116	70	431
"Timp2"	1347	1433	3270	392	1363	962	2813	613	1259	1634	3398	288
"Tmeff1"	78	222	68	31	240	143	93	5	119	148	153	60
"Tmem130"	164	244	1071	105	244	200	908	223	225	208	1178	120
"Tmem132a"	293	233	68	393	358	199	83	844	340	197	145	679
"Tmem151b"	154	457	104	356	491	310	130	1222	314	269	177	574
"Tmsb4x"	674	3899	673	609	1858	2372	722	137	1181	2224	1300	1182
"Tppp3"	12	22	85	51	20	15	91	105	14	29	100	59
"Trf"	278	532	259	595	713	638	555	1883	441	630	862	1455
"Unc13c"	34	34	85	391	60	17	95	805	53	44	122	556
"Wasf1"	192	796	69	104	387	546	86	127	298	422	94	167
"Wdr6"	166	316	850	213	274	264	811	451	203	354	1166	249
"Wfs1"	13	170	33	30	41	130	33	19	37	63	54	25
"Wipf3"	97	967	20	44	146	814	26	35	179	541	56	78
"Zbtb18"	857	2157	157	2150	1309	2101	125	5044	1045	1563	230	2610
"Zbtb20"	299	2669	589	897	455	2146	609	1377	424	1770	819	1151
"Zcchc12"	20	50	451	11	24	46	314	7	31	47	389	1
"Zeb2"	211	592	75	123	209	507	69	253	150	440	110	195
"Zfp365"	364	425	69	39	591	297	92	48	459	319	144	61
"Zranb1"	106	224	117	371	213	200	118	517	128	221	170	566
