"2"	"3"
"904"	0	0
"905"	2	0
"906"	9	8
"907"	0	0
"908"	0	0
"909"	1	0
"910"	0	0
"911"	13	15
"912"	0	0
"913"	1	6
"914"	0	0
"915"	4	0
"916"	7	4
"917"	1	2
"918"	0	0
"919"	0	14
"920"	11	10
"921"	2	0
"922"	1	6
"923"	12	12
"924"	9	8
"925"	1	0
"926"	1	0
"927"	1	0
"928"	3	0
"929"	0	0
"930"	3	0
"931"	1	6
"932"	1	2
"933"	1	0
"934"	2	9
"935"	0	0
"936"	0	0
"937"	1	0
"938"	0	0
"939"	9	8
"940"	1	2
"941"	12	12
"942"	2	0
"943"	5	1
"944"	1	0
"945"	3	0
"946"	0	0
"947"	1	6
"948"	1	0
"949"	2	0
"950"	0	0
"951"	0	0
"952"	0	0
"953"	0	0
"954"	0	22
"955"	8	7
"956"	0	0
"957"	11	10
"958"	0	14
"959"	1	0
"960"	9	8
"961"	10	17
"962"	0	0
"963"	11	10
"964"	4	11
"965"	0	0
"966"	5	1
"967"	0	0
"968"	0	0
"969"	0	0
"970"	0	14
"971"	0	0
"972"	0	0
"973"	5	1
"974"	0	0
"975"	2	21
"976"	3	5
"977"	0	0
"978"	1	0
"979"	2	0
"980"	0	0
"981"	1	0
"982"	0	0
"983"	3	5
"984"	4	11
"985"	0	19
"986"	0	19
"987"	0	0
"988"	1	0
"989"	3	0
"990"	0	0
"991"	12	12
"992"	0	0
"993"	1	2
"994"	12	12
"995"	9	8
"996"	3	5
"997"	12	12
"998"	4	0
"999"	3	5
"1000"	11	10
"1001"	0	0
"1002"	0	20
"1003"	0	0
"1004"	1	2
"1005"	0	0
"1006"	1	0
"1007"	8	7
"1008"	0	0
"1009"	4	11
"1010"	1	6
"1011"	0	0
"1012"	1	0
"1013"	0	0
"1014"	1	6
"1015"	0	0
"1016"	7	4
"1017"	0	0
"1018"	0	23
"1019"	0	0
"1020"	12	12
